sequence_id	genotype	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2	p1_identity_recomb	p2_identity_recomb	p1_identity_nonrecomb	p2_identity_nonrecomb
EU482838.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7967	0.9375	0.8638	0.6730
EU482837.1	Genotype 1	true	4833	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8021	0.9368	0.8652	0.6770
EU482836.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7978	0.9366	0.8588	0.6710
EU234065.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8025	0.9466	0.8677	0.6811
EU155380.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7960	0.9219	0.8546	0.6764
EU155378.2	Genotype 1	true	4794	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7995	0.9372	0.8556	0.6747
EU155354.2	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8017	0.9433	0.8638	0.6677
EU155344.2	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7996	0.9392	0.8679	0.6847
EU155343.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7987	0.9411	0.8628	0.6743
EU155342.2	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9426	0.8666	0.6748
EU155340.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8013	0.9427	0.8620	0.6701
EU155339.2	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8007	0.9414	0.8658	0.6829
EU155338.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9473	0.8691	0.6832
EU155321.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7978	0.9391	0.8618	0.6773
EU155320.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7992	0.9358	0.8618	0.6749
EU155313.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7961	0.9286	0.8526	0.6651
EU155311.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7957	0.9368	0.8554	0.6719
EU155310.2	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7974	0.9348	0.8637	0.6689
EU155309.2	Genotype 1	true	4833	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8016	0.9419	0.8621	0.6725
EU155298.2	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7934	0.9300	0.8571	0.6718
EU155297.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7924	0.9344	0.8606	0.6811
EU155296.2	Genotype 1	true	4941	11103	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7966	0.9324	0.8602	0.6866
EU155293.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7999	0.9422	0.8618	0.6661
EU155292.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7972	0.9410	0.8676	0.6734
EU155291.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8011	0.9411	0.8645	0.6769
EU155290.2	Genotype 1	true	4789	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9350	0.8556	0.6702
EU155288.2	Genotype 1	true	4938	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7988	0.9389	0.8581	0.6799
EU155287.2	Genotype 1	true	4881	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8024	0.9410	0.8599	0.6766
EU155286.2	Genotype 1	true	4794	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8016	0.9356	0.8669	0.6698
EU155285.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7965	0.9363	0.8561	0.6725
EU155284.2	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7940	0.9204	0.8502	0.6758
EU155278.2	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7981	0.9278	0.8557	0.6671
EU155276.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8013	0.9375	0.8583	0.6685
EU155275.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7929	0.9351	0.8621	0.6817
EU155274.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8013	0.9392	0.8572	0.6741
EU155272.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7936	0.9232	0.8539	0.6708
EU155271.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7943	0.9357	0.8575	0.6752
EU155270.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7997	0.9322	0.8607	0.6722
EU155267.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7972	0.9417	0.8604	0.6719
EU155266.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7972	0.9342	0.8645	0.6784
EU155252.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7950	0.9340	0.8613	0.6769
EU155251.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7979	0.9364	0.8603	0.6697
EU155250.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8023	0.9331	0.8609	0.6670
EU155249.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7965	0.9338	0.8594	0.6707
EU155248.2	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7972	0.9386	0.8595	0.6765
EU155246.2	Genotype 1	true	4833	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7979	0.9378	0.8607	0.6737
EU155245.2	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8021	0.9462	0.8642	0.6796
EU155244.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8007	0.9406	0.8615	0.6774
EU155239.2	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7987	0.9364	0.8606	0.6718
EU155238.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8007	0.9418	0.8629	0.6710
JX463641.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7985	0.9320	0.8538	0.6675
JX463638.1	Genotype 1	true	4849	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7941	0.9348	0.8518	0.6728
JX463637.1	Genotype 1	true	4917	11477	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7937	0.9381	0.8537	0.6699
JX463633.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7992	0.9375	0.8547	0.6732
JX463629.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7955	0.9352	0.8509	0.6666
JX463627.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8002	0.9445	0.8564	0.6741
JX463623.1	Genotype 1	true	4885	11113	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7999	0.9350	0.8513	0.6765
JX463612.1	Genotype 1	true	4938	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7977	0.9314	0.8582	0.6720
JX463609.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7971	0.9346	0.8518	0.6675
JX463607.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7996	0.9328	0.8523	0.6710
JX463604.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7982	0.9345	0.8562	0.6746
JX463603.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7947	0.9361	0.8503	0.6624
JX463600.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7990	0.9304	0.8514	0.6669
JX463586.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7993	0.9383	0.8622	0.6697
JX463584.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7968	0.9371	0.8508	0.6728
JX463582.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7941	0.9337	0.8509	0.6662
JX463576.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7979	0.9315	0.8541	0.6687
JX463575.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8008	0.9416	0.8558	0.6732
JX463570.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8001	0.9370	0.8585	0.6686
JX463565.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7994	0.9380	0.8550	0.6771
JX463563.1	Genotype 1	true	4796	11477	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9359	0.8500	0.6621
JX463561.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7976	0.9324	0.8562	0.6640
JX463558.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8017	0.9410	0.8513	0.6664
JX463553.1	Genotype 1	true	4938	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9345	0.8582	0.6708
JX463550.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8004	0.9349	0.8522	0.6648
JX463548.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7924	0.9298	0.8527	0.6678
JX463547.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8025	0.9413	0.8506	0.6612
JX463546.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8004	0.9385	0.8534	0.6628
JX463544.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7963	0.9383	0.8541	0.6624
JX463541.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9361	0.8548	0.6666
JX463537.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7986	0.9364	0.8531	0.6650
JX463535.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7998	0.9324	0.8529	0.6716
JX463530.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7982	0.9362	0.8508	0.6663
JX463529.1	Genotype 1	true	4690	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7987	0.9383	0.8510	0.6582
EU260396.2	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8026	0.9427	0.8601	0.6755
EU250017.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8001	0.9364	0.8668	0.6805
EU239716.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7979	0.9270	0.8594	0.6704
EU239715.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7964	0.9377	0.8639	0.6757
EU234063.2	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7958	0.9339	0.8553	0.6767
EU155294.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7970	0.9217	0.8502	0.6695
EU155237.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9391	0.8601	0.6688
EU155236.2	Genotype 1	true	4938	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7974	0.9387	0.8621	0.6767
EU155216.2	Genotype 1	true	4845	11113	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7958	0.9326	0.8588	0.6773
EU155215.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7957	0.9317	0.8509	0.6679
KC155254.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8016	0.9307	0.8622	0.6691
JQ914272.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9298	0.8591	0.6697
JQ914271.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9262	0.8576	0.6667
FJ410172.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7995	0.9401	0.8640	0.6722
FJ390399.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7996	0.9380	0.8545	0.6707
FJ390395.1	Genotype 1	true	4833	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8024	0.9371	0.8594	0.6718
FJ390394.1	Genotype 1	true	4690	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8026	0.9331	0.8616	0.6579
FJ205869.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8018	0.9422	0.8622	0.6716
FJ205868.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9411	0.8623	0.6688
FJ205867.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7997	0.9340	0.8626	0.6764
FJ182001.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7969	0.9383	0.8582	0.6731
FJ181999.1	Genotype 1	true	4866	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7967	0.9307	0.8560	0.6772
FJ024281.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8028	0.9356	0.8634	0.6701
FJ024280.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7960	0.9305	0.8549	0.6682
FJ024278.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8026	0.9383	0.8582	0.6715
FJ024276.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7979	0.9290	0.8607	0.6701
FJ024275.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7959	0.9372	0.8654	0.6790
FJ024087.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9354	0.8650	0.6781
EU862840.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7949	0.9302	0.8575	0.6744
EU862839.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8006	0.9385	0.8669	0.6832
EU862834.1	Genotype 1	true	4789	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7995	0.9301	0.8515	0.6724
EU862832.1	Genotype 1	true	4941	11477	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7943	0.9316	0.8539	0.6740
EU862831.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7984	0.9215	0.8512	0.6826
EU862828.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8026	0.9450	0.8667	0.6802
EU862823.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7975	0.9260	0.8532	0.6840
EU687194.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7955	0.9339	0.8594	0.6814
EU687193.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8015	0.9331	0.8570	0.6784
EU482889.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7996	0.9374	0.8715	0.6772
EU482887.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8012	0.9373	0.8631	0.6688
EU256056.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9301	0.8520	0.6793
EU256055.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8031	0.9158	0.8555	0.6769
EU256042.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7981	0.9331	0.8627	0.6757
EU255967.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9367	0.8676	0.6817
EU155379.1	Genotype 1	true	4794	11113	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7924	0.9262	0.8502	0.6695
EU155312.2	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7985	0.9397	0.8652	0.6769
EU155273.2	Genotype 1	true	4796	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7987	0.9353	0.8510	0.6737
EU155247.2	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8028	0.9394	0.8622	0.6747
EU155241.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8002	0.9377	0.8613	0.6706
KF700370.1	Genotype 2	true	5445	9949	0.000000000000	3Seq	ref_HQ639944	ref_D00944	0.8627	0.8918	0.9761	0.8971
KF268446.1	Genotype 2	true	5445	9949	0.000000000000	3Seq	ref_HQ639944	ref_D00944	0.8590	0.8876	0.9773	0.8980
KC967478.1	Genotype 2	true	523	3996	0.000000000000	3Seq	ref_AB047639	ref_EU643835	0.7286	0.8893	0.9994	0.6697
KC967477.1	Genotype 2	true	550	3996	0.000000000000	3Seq	ref_AB047639	ref_EU643835	0.7271	0.9001	0.9994	0.6715
JF343792.1	Genotype 2	true	402	4029	0.000000000000	3Seq	ref_AB047639	ref_D00944	0.8821	0.9615	0.9983	0.9026
JF343790.1	Genotype 2	true	402	4029	0.000000000000	3Seq	ref_AB047639	ref_D00944	0.8821	0.9615	0.9988	0.9029
JF343789.1	Genotype 2	true	402	4029	0.000000000000	3Seq	ref_AB047639	ref_D00944	0.8821	0.9615	0.9986	0.9026
JF343788.1	Genotype 2	true	402	4029	0.000000000000	3Seq	ref_AB047639	ref_D00944	0.8821	0.9615	0.9975	0.9015
JF343784.2	Genotype 2	true	86	4028	0.000000000000	3Seq	ref_AB047639	ref_D28917	0.6673	0.9283	0.9994	0.6497
JF343783.1	Genotype 2	true	41	3996	0.000000000000	3Seq	ref_AB047639	ref_AB622121	0.7539	0.9145	0.9992	0.6735
JF343780.2	Genotype 2	true	41	4029	0.000000000000	3Seq	ref_AB047639	ref_AY651061	0.6961	0.8661	0.9992	0.6702
HQ852454.1	Genotype 2	true	473	4029	0.000000000000	3Seq	ref_AB047639	ref_EF407457	0.6658	0.8999	1.0000	0.6856
OP555745.1	Genotype 4	true	412	8758	0.000000000000	3Seq	ref_AB047639	ref_EU392172	0.6618	0.9396	0.9978	0.7271
OP555744.1	Genotype 4	true	412	8758	0.000000000000	3Seq	ref_AB047639	ref_EU392172	0.6618	0.9397	0.9978	0.7271
OP555743.1	Genotype 4	true	412	8758	0.000000000000	3Seq	ref_AB047639	ref_EU392172	0.6620	0.9398	0.9978	0.7271
PX386979.1	Genotype 6	true	148	9574	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7891	0.9180	0.8889	0.7818
PX386978.1	Genotype 6	true	148	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7998	0.9214	0.8876	0.7804
PX386969.1	Genotype 6	true	148	9574	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8016	0.9272	0.8996	0.7845
PP101934.1	Genotype 6	true	89	9540	0.000000000000	3Seq	ref_DQ155560	ref_EU246931	0.7355	0.8823	0.8544	0.7779
PP101918.1	Genotype 6	true	89	9511	0.000000000000	3Seq	ref_KJ567651	ref_EU246931	0.8027	0.9269	0.8836	0.7785
OR345996.1	Genotype 6	true	9546	10258	0.000000000000	3Seq	ref_EU246931	ref_EU246930	0.7589	0.8567	0.8779	0.7236
OR345995.1	Genotype 6	true	89	9540	0.000000000000	3Seq	ref_DQ155560	ref_EU246931	0.7357	0.8736	0.8613	0.7753
OR345994.1	Genotype 6	true	89	9540	0.000000000000	3Seq	ref_DQ155560	ref_EU246931	0.7360	0.8744	0.8613	0.7753
OR345993.1	Genotype 6	true	9540	10248	0.000000000000	3Seq	ref_EU246931	ref_EF424629	0.7632	0.8702	0.8708	0.7713
OR345992.1	Genotype 6	true	89	9540	0.000000000000	3Seq	ref_DQ155560	ref_EU246931	0.7359	0.8705	0.8516	0.7766
OR345991.1	Genotype 6	true	89	9540	0.000000000000	3Seq	ref_DQ155560	ref_EU246931	0.7321	0.8710	0.8641	0.7713
OR345990.1	Genotype 6	true	89	9540	0.000000000000	3Seq	ref_DQ155560	ref_EU246931	0.7323	0.8712	0.8641	0.7713
MZ161158.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8023	0.9283	0.8955	0.7799
MZ161157.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8027	0.9324	0.8805	0.7696
MZ161156.1	Genotype 6	true	9575	10254	0.000000000000	3Seq	ref_EU246930	ref_KM252789	0.7679	0.8854	0.9310	0.7990
MZ161155.1	Genotype 6	true	9575	10254	0.000000000000	3Seq	ref_EU246930	ref_KM252789	0.7679	0.8824	0.9336	0.7997
MZ161154.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8006	0.9287	0.8831	0.7827
MZ161153.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8024	0.9353	0.8834	0.7724
MZ161152.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8018	0.9339	0.8819	0.7696
MZ161151.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8019	0.9323	0.8791	0.7696
MZ161150.1	Genotype 6	true	184	9535	0.000000000000	3Seq	ref_KM252789	ref_EU246930	0.7965	0.9299	0.8870	0.7959
MZ161149.1	Genotype 6	true	89	9535	0.000000000000	3Seq	ref_KM252789	ref_EU246930	0.8005	0.9339	0.8799	0.7872
MZ161148.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7993	0.9301	0.8819	0.7724
MZ161147.1	Genotype 6	true	184	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8011	0.9332	0.8932	0.7917
MZ161146.1	Genotype 6	true	184	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8024	0.9339	0.8905	0.7904
MZ161145.1	Genotype 6	true	89	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8009	0.9291	0.8776	0.7868
MT185686.1	Genotype 6	true	148	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7974	0.9249	0.8913	0.7891
MK327986.1	Genotype 6	true	203	9535	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7966	0.9190	0.8765	0.8030
LC435027.1	Genotype 6	true	206	9519	0.000000000000	3Seq	ref_EF632071	ref_EU246931	0.7656	0.9185	0.8801	0.7933
LC435021.1	Genotype 6	true	89	9535	0.000000000000	3Seq	ref_KM252789	ref_EU246930	0.7925	0.9142	0.8845	0.7660
KY120329.1	Genotype 6	true	108	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8009	0.9341	0.8686	0.7667
KU871311.1	Genotype 6	true	9565	10188	0.000000000000	3Seq	ref_EU246930	ref_KM252791	0.7456	0.8905	0.9343	0.7998
KU871310.1	Genotype 6	true	9565	10188	0.000000000000	3Seq	ref_EU246930	ref_KM252791	0.7520	0.8889	0.9298	0.8033
KM587628.1	Genotype 6	true	148	9533	0.000000000000	3Seq	ref_KM252789	ref_EU246930	0.7975	0.9194	0.8877	0.7943
KM587627.1	Genotype 6	true	148	9527	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7936	0.9044	0.8941	0.7888
KC844038.1	Genotype 6	true	184	9561	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8018	0.9270	0.8933	0.7977
KC844037.1	Genotype 6	true	148	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.8039	0.9262	0.8917	0.7963
HQ912955.1	Genotype 6	true	225	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7995	0.9310	0.8803	0.7937
HQ912954.1	Genotype 6	true	225	9565	0.000000000000	3Seq	ref_KM252791	ref_EU246930	0.7923	0.9275	0.8762	0.7730
