sample	virus	genotype	subgenotype	gene	drug	mutation	detected	type
MW835252.1	HEV	AL_7	AL_7a	NA	NA	NA	NA	genotype
MH504132.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355331.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504155.1	HEV	AL_1	NA	NA	NA	NA	NA	genotype
MW355241.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355314.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH377724.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355252.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355270.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PX597112.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MH450023.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355272.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355356.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444102.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355343.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MG573193.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
KU176130.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355299.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355226.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444087.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504142.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355384.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KT447528.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
JF443725.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
KU356187.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MF444066.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355261.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355296.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355229.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355334.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MG783571.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MF444104.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444119.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KR872417.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
KF736234.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MW355342.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MT840363.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355275.1	HEV	AL_3	AL_3_JQ953664	NA	NA	NA	NA	genotype
MF444096.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355277.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PV089670.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504163.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MF444051.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PQ557134.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MF444059.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JF443718.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MF444074.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
JX109834.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
JF443723.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
PQ160045.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
KT159771.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH504128.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355380.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355358.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355330.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355378.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444122.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KY436507.1	HEV	AL_1	NA	NA	NA	NA	NA	genotype
MW355391.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ160051.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MH504124.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355315.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MT840359.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MT364355.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MH504161.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MF444047.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355246.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MW355324.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444037.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MW355274.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504154.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
KT591532.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KJ013415.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
PQ160055.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MH504151.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444038.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355288.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
PV089666.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444063.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355220.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KY232312.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355394.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355249.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MK390970.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355298.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444036.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355282.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355244.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444034.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444083.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JX565469.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MF444095.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355235.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PP291578.1	HEV	AL_1	AL_1b	NA	NA	NA	NA	genotype
FJ705359.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MK330953.1	HEV	AL_4	AL_4a	NA	NA	NA	NA	genotype
MH504127.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MN401238.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MW355340.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355370.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444041.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355329.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PQ160048.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MW355402.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PP271983.1	HEV	AL_2	AL_2a	NA	NA	NA	NA	genotype
MW355243.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355359.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355372.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355325.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444056.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MW355349.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355245.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
JQ953665.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
KU356183.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MF444098.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444117.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355368.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MH450022.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
GU937805.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
JF443721.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
MW355399.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355363.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444078.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JQ013795.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
PP291577.1	HEV	AL_1	AL_1b	NA	NA	NA	NA	genotype
MF444065.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355313.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355320.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PX597110.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MG211751.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355285.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444126.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KT633715.1	HEV	AL_3	AL_3b	NA	NA	NA	NA	genotype
PX724177.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MF444090.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH450028.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355352.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KU356182.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
JN906974.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444103.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355311.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KU176132.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MF444109.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355312.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KU747141.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
KU747142.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
JN906976.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355344.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355328.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MN614139.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ160068.1	HEV	AL_2	AL_2a	NA	NA	NA	NA	genotype
OQ286030.1	HEV	AL_3	AL_3i	NA	NA	NA	NA	genotype
MW355269.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ160056.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
KC166971.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444132.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355248.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444077.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MH184584.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
PQ160054.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
PQ206568.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MF444105.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JF443719.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MF444082.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH809516.1	HEV	AL_2	AL_2a	NA	NA	NA	NA	genotype
KP698919.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MF444030.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444127.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355346.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444064.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444130.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355232.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MT840366.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ160047.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MW355400.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444050.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KY766999.1	HEV	AL_3	AL_3_JQ953664	NA	NA	NA	NA	genotype
MW355374.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355260.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355265.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504126.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355247.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JQ013791.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MG674164.1	HEV	AL_3	AL_3_JQ953664	NA	NA	NA	NA	genotype
MF444092.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355222.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444140.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PV089667.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355292.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PV089671.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KU356188.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MW355223.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355381.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444071.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PX724175.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MF444124.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355289.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355355.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444137.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444075.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355259.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355234.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW596896.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
KX227751.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
PV089669.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444097.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PP271982.1	HEV	AL_2	AL_2a	NA	NA	NA	NA	genotype
MW355305.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504146.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
PQ557138.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
KY436506.1	HEV	AL_1	NA	NA	NA	NA	NA	genotype
MF444110.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MW355279.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444144.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444039.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355219.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW383253.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355293.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355347.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MK050463.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
