sample	virus	genotype	subgenotype	gene	drug	mutation	detected	type	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2
MW355329.1	HEV	AL_3	AL_3f					genotype	false						
PQ160048.1	HEV	AL_1	AL_1e					genotype	false						
MW355402.1	HEV	AL_3	AL_3c					genotype	false						
PP271983.1	HEV	AL_2	AL_2a					genotype	false						
MW355243.1	HEV	AL_3						genotype	false						
MW355359.1	HEV	AL_3						genotype	false						
MW355372.1	HEV	AL_3	AL_3c					genotype	false						
MW355325.1	HEV	AL_3	AL_3f					genotype	false						
MF444056.1	HEV	AL_3	AL_3h					genotype	false						
MW355349.1	HEV	AL_3	AL_3f					genotype	false						
MW355245.1	HEV	AL_3	AL_3c					genotype	false						
JQ953665.1	HEV	AL_3	AL_3e					genotype	false						
KU356183.1	HEV	AL_4	AL_4h					genotype	false						
MF444098.1	HEV	AL_3	AL_3f					genotype	false						
MF444117.1	HEV	AL_3	AL_3f					genotype	false						
MW355368.1	HEV	AL_3						genotype	false						
MH450022.1	HEV	AL_3	AL_3a					genotype	false						
GU937805.1	HEV	AL_3	AL_3ra					genotype	false						
JF443721.1	HEV	AL_1	AL_1f					genotype	false						
MW355399.1	HEV	AL_3						genotype	false						
MW355363.1	HEV	AL_3	AL_3f					genotype	false						
MF444078.1	HEV	AL_3	AL_3f					genotype	false						
JQ013795.1	HEV	AL_3	AL_3e					genotype	false						
PP291577.1	HEV	AL_1	AL_1b					genotype	false						
MF444065.1	HEV	AL_3	AL_3c					genotype	false						
MW355313.1	HEV	AL_3	AL_3c					genotype	false						
MW355320.1	HEV	AL_3	AL_3c					genotype	false						
PX597110.1	HEV	AL_1	AL_1e					genotype	false						
MG211751.1	HEV	AL_3						genotype	false						
MW355285.1	HEV	AL_3	AL_3f					genotype	false						
MF444126.1	HEV	AL_3	AL_3f					genotype	false						
KT633715.1	HEV	AL_3	AL_3b					genotype	false						
PX724177.1	HEV							genotype	false						
MF444090.1	HEV	AL_3	AL_3f					genotype	false						
MH450028.1	HEV	AL_3	AL_3f					genotype	false						
MW355352.1	HEV	AL_3	AL_3f					genotype	false						
KU356182.1	HEV	AL_4	AL_4h					genotype	false						
JN906974.1	HEV	AL_3	AL_3f					genotype	false						
MF444103.1	HEV	AL_3	AL_3f					genotype	false						
MW355311.1	HEV	AL_3	AL_3f					genotype	false						
KU176132.1	HEV	AL_3	AL_3h					genotype	false						
MF444109.1	HEV	AL_3	AL_3e					genotype	false						
MW355312.1	HEV	AL_3	AL_3c					genotype	false						
KU747141.1	HEV	AL_3						genotype	false						
KU747142.1	HEV	AL_3						genotype	false						
JN906976.1	HEV	AL_3	AL_3f					genotype	false						
MW355344.1	HEV	AL_3						genotype	false						
MW355328.1	HEV	AL_3	AL_3c					genotype	false						
MN614139.1	HEV	AL_3	AL_3c					genotype	false						
PQ160068.1	HEV	AL_2	AL_2a					genotype	false						
OQ286030.1	HEV	AL_3	AL_3i					genotype	false						
MW355269.1	HEV	AL_3	AL_3c					genotype	false						
PQ160056.1	HEV	AL_1	AL_1e					genotype	false						
KC166971.1	HEV	AL_3	AL_3f					genotype	false						
MF444132.1	HEV	AL_3	AL_3f					genotype	false						
MW355248.1	HEV	AL_3	AL_3f					genotype	false						
MF444077.1	HEV	AL_3	AL_3h					genotype	false						
MH184584.1	HEV	AL_3	AL_3e					genotype	false						
PQ160054.1	HEV	AL_1	AL_1e					genotype	false						
PQ206568.1	HEV	AL_4	AL_4d					genotype	false						
MF444105.1	HEV	AL_3	AL_3f					genotype	false						
JF443719.1	HEV	AL_1	AL_1a					genotype	true	1250	3239	0.000000015926	3Seq	ref_M73218	ref_FJ457024
MF444082.1	HEV	AL_3	AL_3f					genotype	false						
MH809516.1	HEV	AL_2	AL_2a					genotype	false						
KP698919.1	HEV	AL_3	AL_3e					genotype	false						
MF444030.1	HEV	AL_3						genotype	false						
MF444127.1	HEV	AL_3	AL_3f					genotype	false						
MW355346.1	HEV	AL_3	AL_3f					genotype	false						
MF444064.1	HEV	AL_3	AL_3c					genotype	false						
MF444130.1	HEV	AL_3	AL_3f					genotype	false						
MW355232.1	HEV	AL_3	AL_3c					genotype	false						
MT840366.1	HEV	AL_3	AL_3c					genotype	false						
PQ160047.1	HEV	AL_1	AL_1e					genotype	false						
MW355400.1	HEV	AL_3						genotype	false						
MF444050.1	HEV	AL_3	AL_3f					genotype	true	8429	10352	0.000000084716	3Seq	ref_AB369687	ref_EU723513
KY766999.1	HEV	AL_3	AL_3_JQ953664					genotype	false						
MW355374.1	HEV	AL_3	AL_3c					genotype	false						
MW355260.1	HEV	AL_3	AL_3f					genotype	false						
MW355265.1	HEV	AL_3	AL_3f					genotype	false						
MH504126.1	HEV	AL_3	AL_3c					genotype	false						
MW355247.1	HEV	AL_3	AL_3f					genotype	true	8429	10017	0.000000000715	3Seq	ref_AB369687	ref_EU723513
JQ013791.1	HEV	AL_3	AL_3ra					genotype	false						
MG674164.1	HEV	AL_3	AL_3_JQ953664					genotype	false						
MF444092.1	HEV	AL_3	AL_3f					genotype	false						
MW355222.1	HEV	AL_3						genotype	false						
MF444140.1	HEV	AL_3	AL_3f					genotype	false						
PV089667.1	HEV	AL_3						genotype	false						
MW355292.1	HEV	AL_3	AL_3f					genotype	true	8429	10148	0.000000344128	3Seq	ref_AB369687	ref_EU723513
PV089671.1	HEV	AL_3	AL_3f					genotype	false						
KU356188.1	HEV	AL_4	AL_4h					genotype	false						
MW355223.1	HEV	AL_3	AL_3f					genotype	false						
MW355381.1	HEV	AL_3	AL_3f					genotype	false						
MF444071.1	HEV	AL_3	AL_3c					genotype	false						
PX724175.1	HEV							genotype	false						
MF444124.1	HEV	AL_3	AL_3f					genotype	true	8429	10352	0.000000044847	3Seq	ref_AB369687	ref_EU723513
MW355289.1	HEV	AL_3	AL_3f					genotype	false						
MW355355.1	HEV	AL_3	AL_3f					genotype	false						
MF444137.1	HEV	AL_3	AL_3f					genotype	true	8429	10109	0.000000017414	3Seq	ref_AB369687	ref_EU723513
MF444075.1	HEV	AL_3						genotype	false						
MW355259.1	HEV	AL_3	AL_3f					genotype	false						
MW355234.1	HEV	AL_3	AL_3c					genotype	false						
MW596896.1	HEV	AL_3						genotype	false						
KX227751.1	HEV	AL_3	AL_3ra					genotype	false						
PV089669.1	HEV	AL_3						genotype	false						
MF444097.1	HEV	AL_3	AL_3f					genotype	false						
PP271982.1	HEV	AL_2	AL_2a					genotype	false						
MW355305.1	HEV	AL_3	AL_3f					genotype	true	8429	9851	0.000000001216	3Seq	ref_AB369687	ref_EU723513
MH504146.1	HEV	AL_3	AL_3e					genotype	false						
PQ557138.1	HEV	AL_3	AL_3ra					genotype	false						
KY436506.1	HEV	AL_1						genotype	false						
MF444110.1	HEV	AL_3	AL_3h					genotype	false						
MW355279.1	HEV	AL_3	AL_3c					genotype	false						
MF444144.1	HEV	AL_3	AL_3f					genotype	false						
MF444039.1	HEV	AL_3	AL_3f					genotype	false						
MW355219.1	HEV	AL_3	AL_3f					genotype	false						
MW383253.1	HEV	AL_3	AL_3f					genotype	false						
MW355293.1	HEV	AL_3	AL_3c					genotype	false						
MW355347.1	HEV	AL_3	AL_3c					genotype	false						
MK050463.1	HEV	AL_3	AL_3ra					genotype	false						
